text,slot,intent
add to playlist named,O B-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist
i d like to watch the for,O O O O O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
rate,O B-object_select B-object_part_of_series_type B-rating_value B-rating_unit,RateBook
what is the forecast for for starting,O O O O O B-country O O B-timeRange I-timeRange,GetWeather
play anything from the off of,O O O O B-sort B-artist I-artist B-music_item O O B-service,PlayMusic
find with,O B-object_type I-object_type O B-movie_type I-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent
i give the out of,O O O B-object_name I-object_name B-object_part_of_series_type B-rating_value O O B-best_rating B-rating_unit,RateBook
play the from,O O B-year B-music_item O B-artist I-artist,PlayMusic
show me the,O O O B-object_name I-object_name I-object_name I-object_name B-object_type,SearchCreativeWork
i give the out of,O O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
find the for,O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
what will it be like in,O O O O O B-timeRange I-timeRange I-timeRange O B-state,GetWeather
what is the local,O O O O B-object_type I-object_type,SearchScreeningEvent
out of for the,B-rating_value O O B-best_rating O O B-object_select B-object_type,RateBook
find,O B-object_type I-object_type,SearchScreeningEvent
rate of,O B-object_name I-object_name I-object_name I-object_name I-object_name B-object_part_of_series_type B-rating_value O B-best_rating,RateBook
i want to book a table for at a in,O O O O O O O B-party_size_number O O B-spatial_relation I-spatial_relation B-restaurant_type O B-country,BookRestaurant
rate of,O B-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
what s the weather forecast for,O O O O O O B-country,GetWeather
add a by to playlist called,O O B-music_item O B-artist I-artist O B-playlist_owner O O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
will it get in,O O O B-condition_temperature O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather
play,O B-artist I-artist,PlayMusic
what is the forecast for in,O O O B-condition_description O O B-timeRange O B-state,GetWeather
add this to,O O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist
play me some music,O O O B-genre O,PlayMusic
give me the weather forecast in,O O O O O O B-country,GetWeather
weather for,O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather
show creative work or,O O O O B-object_name I-object_name I-object_name,SearchCreativeWork
play me some on,O O O B-playlist I-playlist O B-service I-service,PlayMusic
book the in,O O B-sort B-spatial_relation B-restaurant_type O B-poi I-poi,BookRestaurant
i m looking for the hit,O O O O O O B-object_type B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
add a by to playlist,O O B-music_item O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
what is the forecast for,O O O O O B-city B-state,GetWeather
let me know what are playing,O O O O B-movie_type I-movie_type O O B-spatial_relation I-spatial_relation,SearchScreeningEvent
book a spot at the in,O O O O O B-sort B-restaurant_type O B-city,BookRestaurant
find me,O O B-object_name I-object_name,SearchCreativeWork
list playing,O B-object_type I-object_type O B-movie_type I-movie_type B-spatial_relation,SearchScreeningEvent
i have a party of in,O O O O O B-party_size_number O B-country I-country,BookRestaurant
book a reservation for people at,O O O O B-party_size_number O B-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name,BookRestaurant
book a spot for at a in,O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-state I-state,BookRestaurant
add to playlist named,O B-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist
will it be in the city of,O O O B-condition_temperature O O O O B-city,GetWeather
i m looking to bring to a place to eat at,O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O O B-spatial_relation B-country,BookRestaurant
show,O B-object_type I-object_type,SearchScreeningEvent
book a for in,O O B-restaurant_type O B-party_size_number O B-state,BookRestaurant
find for,B-spatial_relation I-spatial_relation I-spatial_relation O B-object_type I-object_type O B-movie_type,SearchScreeningEvent
rate of,O B-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
i would give this or a rating of,O O O O B-object_select B-object_type B-rating_value B-rating_unit O O O O B-best_rating,RateBook
what is the forecast for,O O O B-timeRange O O B-city B-state I-state,GetWeather
can you play on,O O O B-track I-track I-track I-track O B-service,PlayMusic
find,O B-object_name I-object_name I-object_name,SearchCreativeWork
i want to give this and a rating value of,O O O O O B-object_select B-object_part_of_series_type B-best_rating B-rating_unit O O O O O B-rating_value,RateBook
play some music from by,O O O O B-year O B-artist I-artist,PlayMusic
rate of,O B-object_select B-object_type B-rating_value O B-best_rating,RateBook
is at,O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O B-location_name I-location_name I-location_name,SearchScreeningEvent
what is the,O O O B-location_name I-location_name B-object_type I-object_type,SearchScreeningEvent
rate out of,O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
show the with starting,O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name O B-timeRange I-timeRange I-timeRange I-timeRange,SearchScreeningEvent
find the,O O B-object_type B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
i d like to see,O O O O O B-object_name I-object_name,SearchCreativeWork
what time is playing at,O O O B-movie_name I-movie_name I-movie_name O O B-object_location_type,SearchScreeningEvent
can you give me a forecast for weather at in my,O O O O O O O O O B-timeRange O O B-current_location I-current_location,GetWeather
give a,O B-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value,RateBook
i d like to watch,O O O O O B-object_name I-object_name,SearchCreativeWork
what are the for playing,O O O B-object_type I-object_type O B-movie_type O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
i want toi hear some off of,O O O O O B-playlist I-playlist I-playlist I-playlist O O B-service,PlayMusic
find,O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent
book a from here for,O O B-restaurant_type B-poi I-poi B-spatial_relation I-spatial_relation O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
show me the of,O O O B-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork
will there be a in,O O O O B-condition_description O B-state,GetWeather
play the,O O B-object_name I-object_name I-object_name I-object_name I-object_name B-object_type,SearchCreativeWork
find a called,O O B-object_type I-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
i want this on the playlist called,O O O B-music_item O O O O B-playlist I-playlist,AddToPlaylist
what is the weather forecast in,O O O O O B-timeRange I-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather
play some music from,O O B-music_item O O B-year,PlayMusic
give this out of,O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
put another in playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
when will it be than in in,O O O O B-condition_temperature O B-timeRange O B-city I-city O B-state,GetWeather
find some,O O B-spatial_relation I-spatial_relation B-movie_type,SearchScreeningEvent
add to playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
how do i see the,O O O O O B-object_type I-object_type B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play a from,O O B-music_item O B-year,PlayMusic
book a table for people at,O O O O B-party_size_number O O B-restaurant_name I-restaurant_name B-country,BookRestaurant
find the for,O O B-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork
show me the current,O O O O B-object_type I-object_type,SearchScreeningEvent
i m looking for a job in,O O O O O O O B-object_name,SearchCreativeWork
what s the weather in,O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-city B-country,GetWeather
find a of,O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
what will the weather be in,O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-state,GetWeather
find,O B-object_name I-object_name B-object_type,SearchCreativeWork
what s the weather at in,O O O O O B-timeRange I-timeRange O B-country,GetWeather
can you help me find the,O O O O O O B-object_name I-object_name I-object_name I-object_name I-object_name B-object_type,SearchCreativeWork
find the,O O B-object_type B-object_name I-object_name I-object_name,SearchCreativeWork
are there any playing,O O O B-movie_type O B-spatial_relation I-spatial_relation,SearchScreeningEvent
what will the weather be in,O O O O O O B-city,GetWeather
play on,O B-track I-track I-track I-track I-track I-track I-track O B-service I-service,PlayMusic
play the by on,O O B-sort B-music_item O B-artist I-artist O B-service,PlayMusic
i d like to see the,O O O O O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play some,O O B-playlist I-playlist I-playlist I-playlist,PlayMusic
play,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-object_type I-object_type,SearchCreativeWork
reserve a table for person in,O O O O B-party_size_number O O B-state,BookRestaurant
rate out of,O B-object_select B-object_type B-object_part_of_series_type B-rating_value O O B-best_rating B-rating_unit,RateBook
forecast for,O O B-city,GetWeather
i need info on the,O O O O O B-object_type I-object_type B-object_name I-object_name,SearchCreativeWork
book a table for at a,O O O O B-party_size_number O O B-cuisine I-cuisine B-restaurant_type,BookRestaurant
rate a,O B-object_name I-object_name O B-rating_value,RateBook
what time is showing at,O O O B-movie_name I-movie_name I-movie_name O O B-location_name I-location_name I-location_name,SearchScreeningEvent
i want to hear songs from on,O O O O B-music_item O O B-artist I-artist O B-service I-service,PlayMusic
what are the for,O O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent
find for,B-spatial_relation I-spatial_relation I-spatial_relation O B-timeRange I-timeRange I-timeRange B-object_type I-object_type O B-movie_type,SearchScreeningEvent
book a reservation for for a,O O O O B-party_size_number O O B-cuisine B-restaurant_type I-restaurant_type,BookRestaurant
i want to move this to playlist,O O O O O B-music_item O B-playlist I-playlist O,AddToPlaylist
look for,O O B-object_name I-object_name I-object_name,SearchCreativeWork
add to,O B-artist I-artist O B-playlist_owner B-playlist I-playlist,AddToPlaylist
what is the playing,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent
book a spot in,O O O O B-state,BookRestaurant
when was the taken off air,O O O B-object_type I-object_type B-object_name O O O,SearchCreativeWork
play some music by,O O B-year O O B-artist I-artist,PlayMusic
will it be in on,O O O B-condition_description O B-city B-state O B-timeRange I-timeRange I-timeRange,GetWeather
can you put some on playlist,O O O O B-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
rate of,O B-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
play something from the,O O O O B-year,PlayMusic
i would give out of,O O O B-object_name I-object_name I-object_name B-rating_value O O B-best_rating,RateBook
give me the weather forecast for,O O O O O O B-current_location,GetWeather
i want to add something by to playlist,O O O O O O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
play the music of s,O O O O B-artist I-artist O B-sort B-music_item,PlayMusic
list,O B-object_type I-object_type,SearchScreeningEvent
find,B-spatial_relation I-spatial_relation I-spatial_relation O B-movie_type,SearchScreeningEvent
find for,O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent
please find the,O O O B-object_type B-object_name I-object_name,SearchCreativeWork
rate of,O B-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
tell me the weather forecast for in,O O O O O O B-timeRange O B-city,GetWeather
find me the,O O O B-object_type B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play a from,O O B-music_item O B-artist I-artist,PlayMusic
find,O B-object_type I-object_type,SearchScreeningEvent
get me a table at a which has a,O O O O O O B-restaurant_type O O O B-facility,BookRestaurant
i d like to hear on,O O O O O B-playlist I-playlist I-playlist O B-service,PlayMusic
can you put on the playlist,O O O B-entity_name I-entity_name O O O B-playlist I-playlist,AddToPlaylist
i want to give,O O O O B-object_select B-object_type B-rating_value,RateBook
give of,O B-object_name I-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
find a called,O O B-object_type I-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork
show creativity of,O O O B-object_name,SearchCreativeWork
i would rate and a best rating of,O O O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit O O O O O B-best_rating,RateBook
add by to,O B-music_item O B-artist I-artist O B-playlist I-playlist I-playlist,AddToPlaylist
book a for people in,O O B-sort B-cuisine B-restaurant_type O B-party_size_number O O B-city I-city,BookRestaurant
rate a,O B-object_select B-object_type O B-rating_value,RateBook
add to,O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
where can i watch the called,O O O O O B-object_type I-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
what s the showing,O O O B-spatial_relation B-object_location_type O B-movie_type I-movie_type,SearchScreeningEvent
is it in,O O B-condition_description O B-country,GetWeather
add to,O B-entity_name I-entity_name O B-playlist,AddToPlaylist
is in,O B-condition_description O B-city,GetWeather
add to playlist,O B-artist I-artist O B-playlist I-playlist I-playlist O,AddToPlaylist
find the,O O B-object_type I-object_type,SearchScreeningEvent
show me,O O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
show me the for,O O O B-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
book a for in,O O B-restaurant_type O B-party_size_number O B-city I-city B-state I-state I-state,BookRestaurant
find the for at the,O O B-object_type O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent
put this by onto,O O B-music_item O B-artist I-artist I-artist O B-playlist I-playlist,AddToPlaylist
please find a in that has room for,O O O B-restaurant_type O B-city B-state O O O O B-party_size_number,BookRestaurant
weather for,O O B-city B-state,GetWeather
book a for a party of on,O O B-cuisine B-restaurant_type B-spatial_relation I-spatial_relation B-poi I-poi O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange,BookRestaurant
play,O B-year,PlayMusic
show me the for,O O O B-object_type O B-object_name I-object_name,SearchCreativeWork
book a reservation for in,O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state B-timeRange I-timeRange I-timeRange,BookRestaurant
can you help me find,O O O O O B-object_name,SearchCreativeWork
i need to book a table at a in for,O O O O O O O O B-restaurant_type O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
can you find a creative work called,O O O O O O O B-object_name I-object_name I-object_name,SearchCreativeWork
please tell me the,O O O O B-object_type I-object_type,SearchScreeningEvent
book me a table for at,O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name,BookRestaurant
add to playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner I-playlist_owner B-playlist I-playlist O,AddToPlaylist
what is the forecast for,O O O O O B-timeRange I-timeRange I-timeRange I-timeRange B-spatial_relation I-spatial_relation B-current_location,GetWeather
i want to listen to some from the on,O O O O O O B-artist I-artist O O B-year O B-service,PlayMusic
what is the playing,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent
list,O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
what time does play in,O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O O B-location_name I-location_name,SearchScreeningEvent
give out of star to,O B-rating_value O O B-best_rating O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-object_part_of_series_type,RateBook
for i give,O B-object_name I-object_name I-object_name I-object_name O O B-rating_value B-rating_unit,RateBook
i want added to playlist,O O B-entity_name O O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
play a by,O O B-sort B-music_item O B-artist I-artist I-artist,PlayMusic
find a called,O O B-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
i want the for,O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent
rate a,O B-object_select B-object_type O B-rating_value,RateBook
i need a table right for in,O O O O O B-timeRange O B-party_size_number O B-state,BookRestaurant
please book a table for at a in on,O O O O O B-party_size_number O O B-spatial_relation B-sort B-restaurant_type O B-country O B-timeRange I-timeRange I-timeRange,BookRestaurant
what s the for,O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
add to playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist O,AddToPlaylist
when is showing at,O O B-movie_name I-movie_name O O B-location_name I-location_name I-location_name,SearchScreeningEvent
i want to add a to playlist,O O O O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
find start time for,O O O B-timeRange I-timeRange I-timeRange O B-movie_name I-movie_name,SearchScreeningEvent
rate the out of,O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
play the by,O O B-track I-track I-track O B-artist I-artist I-artist,PlayMusic
find me a in that serves dishes that will take reservations for,O O O B-restaurant_type O B-city I-city B-state O O B-served_dish O O O O O O B-timeRange,BookRestaurant
give the,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
check the weather forecast for,O O O O O B-city B-state,GetWeather
will there be a at in my,O O O O B-condition_description O B-timeRange I-timeRange O O B-current_location I-current_location,GetWeather
play the,O O B-object_type B-object_name I-object_name I-object_name,SearchCreativeWork
when is playing at the,O O B-movie_name I-movie_name I-movie_name I-movie_name O O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent
i want to book a with a for in,O O O O O B-restaurant_type O O B-facility O B-party_size_number O B-city,BookRestaurant
where is the,O O O B-object_type I-object_type B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
find,O B-object_name I-object_name I-object_name,SearchCreativeWork
i d like to rate,O O O O O B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
how will it be,O B-condition_temperature O O O B-timeRange I-timeRange I-timeRange,GetWeather
is it going to be in,O O O O O B-condition_temperature O B-city,GetWeather
what are playing,O B-movie_type O O B-spatial_relation,SearchScreeningEvent
show me the at the,O O O B-movie_type O O B-spatial_relation B-object_location_type,SearchScreeningEvent
what is the temperature in or,O O O O O B-country I-country O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather
i want to add this by to list,O O O O O B-music_item O B-artist O B-playlist_owner B-playlist O,AddToPlaylist
book me a table at a in,O O O O O O B-cuisine B-restaurant_type O B-city,BookRestaurant
rate,O B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
rate,O B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
book a in,O O B-spatial_relation I-spatial_relation B-restaurant_type O B-state,BookRestaurant
give out of to,O B-rating_value B-rating_unit O O B-best_rating O B-object_select B-object_type,RateBook
what are playing at,O B-movie_type I-movie_type O O O B-location_name I-location_name,SearchScreeningEvent
give out of for,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name,RateBook
what are the for,O O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent
book a table for at a in,O O O O B-timeRange I-timeRange O O B-restaurant_type O B-state,BookRestaurant
book a for,O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
rate the of,O O B-object_select B-object_type B-rating_value O B-best_rating,RateBook
rate out of,O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit O O B-best_rating,RateBook
she me that,O O O B-object_type I-object_type,SearchScreeningEvent
rate this out of,O O B-object_select B-object_part_of_series_type B-rating_value O O B-best_rating B-rating_unit,RateBook
play some,O O B-artist I-artist,PlayMusic
play,O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
use to play music from the,O B-service I-service O O O O O B-year,PlayMusic
rate the,O O B-object_select B-object_type B-rating_value,RateBook
add this to playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
play by on,O B-album I-album I-album I-album I-album O B-artist I-artist O B-service,PlayMusic
play a by,O O B-music_item O B-artist,PlayMusic
play some from on,O O B-music_item O B-year O B-service,PlayMusic
play some on,O O B-artist I-artist O B-service I-service,PlayMusic
give the for a rating,O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit O O O,RateBook
i m looking for search that start at,O O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation O O O B-timeRange,SearchScreeningEvent
find a called,O O B-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork
what are showing,O B-movie_type I-movie_type O O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
show at,O B-movie_type I-movie_type O B-location_name I-location_name,SearchScreeningEvent
find,O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
i give the,O O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
is it going to be at in,O O O O O B-condition_temperature B-timeRange O B-country I-country O B-city I-city,GetWeather
play tracks,O B-artist I-artist O,PlayMusic
recite the,O O B-object_type I-object_type,SearchScreeningEvent
add this to playlist,O O B-artist B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
add to,O B-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
add to by,O B-playlist I-playlist O B-playlist_owner I-playlist_owner O B-artist I-artist I-artist,AddToPlaylist
add the to,O O B-music_item B-artist I-artist O B-playlist I-playlist I-playlist,AddToPlaylist
of,B-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
where can ifind a,O O O B-object_name I-object_name I-object_name O B-object_type,SearchCreativeWork
add to playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
what is the forecast for in,O O O B-timeRange I-timeRange I-timeRange O O B-city I-city O B-country,GetWeather
what s the weather at in,O O O O O B-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather
play a,O O B-sort B-year B-music_item,PlayMusic
is there a coming to,O O O B-condition_description O O B-city I-city,GetWeather
can you tell me the weather forecast for,O O O O O O O O B-city,GetWeather
what are showing,O B-movie_type I-movie_type O O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
rate the,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
when is showing at,O O B-movie_name I-movie_name I-movie_name O O B-location_name I-location_name,SearchScreeningEvent
will you add to playlist,O O O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
i give a rating of and a best rating of,O O B-object_name I-object_name I-object_name O O O B-rating_value O O O O O B-best_rating,RateBook
look for,O O B-object_name I-object_name I-object_name,SearchCreativeWork
what s the weather in,O O O O O B-city,GetWeather
show the for,O O B-object_type I-object_type O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
book a in,O O B-restaurant_type O B-country I-country B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
tell me the weather forecast in,O O O O O O B-city,GetWeather
find,O B-object_name I-object_name,SearchCreativeWork
rate out of,O B-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
i gave of,O O B-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
rate,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
i d like to see local,O O O O O O B-object_type I-object_type,SearchScreeningEvent
rate,O B-object_name I-object_name B-rating_value B-rating_unit,RateBook
find,O B-object_name I-object_name I-object_name B-object_type I-object_type,SearchCreativeWork
book a that serves for people,O O B-restaurant_type I-restaurant_type O O B-served_dish O B-party_size_number O,BookRestaurant
i want to book a spot at a in,O O O O O O O O B-restaurant_type O B-city B-state I-state,BookRestaurant
rate a,O B-object_name I-object_name I-object_name O B-rating_value,RateBook
book a for that has and isn t too from on,O O B-restaurant_type O B-party_size_number O O B-served_dish I-served_dish O O O O B-spatial_relation O B-poi I-poi I-poi I-poi O B-timeRange I-timeRange I-timeRange,BookRestaurant
find a,O B-object_name I-object_name I-object_name I-object_name O B-object_type I-object_type,SearchCreativeWork
what is the weather forecast from,O O O O O B-spatial_relation O B-state B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather
rate,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
book me a in,O O O B-restaurant_type O B-country,BookRestaurant
is it supposed to be at time in,O O O O O B-condition_temperature O B-timeRange O O B-city B-country,GetWeather
and,B-restaurant_name I-restaurant_name I-restaurant_name B-restaurant_type B-poi I-poi O B-spatial_relation,BookRestaurant
book a spot for in,O O O O B-party_size_number O B-city B-state,BookRestaurant
add this by to the playlist,O O B-music_item O B-artist I-artist I-artist I-artist O O O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
add to playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner I-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
horrible deserves a rating,B-object_select O B-object_type O O B-rating_value O,RateBook
rate the a,O O B-object_select B-object_part_of_series_type O B-rating_value,RateBook
find the,O O B-object_type B-object_name,SearchCreativeWork
find,O B-object_type I-object_type,SearchScreeningEvent
what are showing,O B-movie_type I-movie_type O O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
where is the i can go watch today,O O O B-spatial_relation B-object_location_type I-object_location_type O O O O B-movie_type O,SearchScreeningEvent
add to,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist,AddToPlaylist
play by on radio,O B-album I-album O B-artist I-artist O B-service O,PlayMusic
rate,O B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
is playing at the,O B-movie_name I-movie_name O O O B-object_location_type B-timeRange I-timeRange I-timeRange,SearchScreeningEvent
add to,O B-artist I-artist O B-playlist I-playlist,AddToPlaylist
find,O B-object_name I-object_name I-object_name,SearchCreativeWork
reserve a at the,O O B-facility I-facility O O B-restaurant_type,BookRestaurant
play the titled,O O B-music_item O B-track,PlayMusic
download,B-object_name B-object_type O,SearchCreativeWork
add to playlist,O B-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
i want the for,O O O B-object_type I-object_type O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
find and book a that serves,O O O O B-restaurant_type O O B-served_dish,BookRestaurant
what s the weather,O O O O B-current_location,GetWeather
rate a,O B-object_name I-object_name O B-rating_value,RateBook
what is the forecast for temps,O O O B-city I-city O O B-condition_temperature O,GetWeather
add this to playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
rate of,O B-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
at what will the weather be in,O B-timeRange I-timeRange O O O O O O B-country,GetWeather
add to,O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist
show the and,O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent
forecast for,O O B-city,GetWeather
weather in,O O B-city,GetWeather
play from,O B-track I-track I-track I-track O B-artist I-artist,PlayMusic
the show,B-object_type O O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play the by,O O B-music_item B-track I-track I-track I-track I-track O B-artist I-artist,PlayMusic
i want to hear a from,O O O O O B-sort B-music_item O B-artist I-artist,PlayMusic
find at,O B-movie_type I-movie_type O B-location_name I-location_name,SearchScreeningEvent
book a table for at,O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name B-city,BookRestaurant
what s the showing,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_type I-movie_type,SearchScreeningEvent
